,0,1,2,3
177,1.0,0.927,70.0,2.86
178,1.0,1.614,150.0,4.69
179,1.0,0.914,63.0,9.8
180,4.0,0.1,1.0,1.0
181,2.0,0.693,34.0,2.96
182,1.0,0.666,36.0,3.24
183,0.0,0.782,27.0,5.79
184,1.0,2.001,185.0,6.8
185,1.0,1.276,140.0,6.79
186,1.0,1.085,143.0,7.08
187,3.0,0.302,68.0,1.72
188,4.0,0.1,1.0,1.0
189,1.0,3.599,390.0,7.14
190,1.0,0.547,67.0,1.71
191,0.0,0.352,29.0,2.53
192,0.0,0.212,21.0,0.93
193,0.0,0.177,14.0,0.0
194,0.0,0.834,24.0,0.0
195,0.0,0.331,32.0,0.0
196,0.0,0.212,21.0,1.42
197,0.0,0.151,6.0,0.63
198,1.0,1.524,272.0,4.4
199,1.0,1.005,84.0,4.8
200,1.0,0.903,145.0,3.11
201,0.0,0.213,3.0,1.2
202,0.0,0.317,9.0,0.0
203,0.0,0.219,22.0,0.0
204,0.0,0.424,9.0,2.1
205,1.0,0.734,114.0,2.89
206,0.0,0.226,7.0,1.37
207,1.0,0.734,114.0,2.89
208,2.0,0.379,27.0,4.42
209,1.0,0.734,114.0,2.89
210,0.0,0.139,4.0,1.16
211,1.0,2.01,223.0,10.76
212,0.0,0.476,36.0,2.94
213,4.0,0.21,58.0,0.77
214,4.0,0.21,58.0,0.77
215,4.0,0.21,58.0,0.77
216,1.0,0.781,46.0,4.0
217,0.0,0.671,10.0,4.9
218,0.0,0.671,10.0,4.9
219,1.0,1.274,79.0,6.77
220,0.0,0.141,4.0,0.82
221,1.0,1.057,103.0,7.05
222,1.0,3.599,390.0,7.14
223,1.0,1.567,208.0,3.51
224,1.0,0.589,41.0,4.81
225,1.0,1.778,288.0,12.87
226,0.0,0.125,0.0,0.0
227,0.0,0.281,14.0,2.36
228,0.0,0.276,16.0,0.0
229,0.0,0.277,116.0,1.26
230,0.0,0.447,27.0,9.07
231,0.0,0.512,25.0,0.0
232,0.0,0.124,7.0,0.0
233,0.0,0.261,8.0,0.0
234,0.0,0.124,7.0,0.0
235,1.0,0.666,36.0,3.24
236,1.0,0.713,80.0,5.4
237,1.0,0.945,51.0,5.91
238,1.0,0.76,139.0,4.19
239,0.0,0.275,46.0,1.34
240,0.0,4.392,1.0,0.0
241,1.0,0.587,127.0,4.48
242,1.0,0.587,127.0,4.48
243,0.0,0.22,7.0,1.23
244,1.0,2.986,236.0,13.09
245,1.0,1.614,150.0,4.69
246,1.0,1.82,121.0,4.4
247,0.0,0.248,68.0,1.2
248,0.0,0.311,8.0,2.41
249,1.0,1.567,208.0,3.51
250,1.0,1.614,150.0,4.69
251,1.0,2.628,182.0,4.71
252,0.0,0.11,2.0,0.45
253,2.0,0.379,27.0,4.42
254,0.0,0.3,17.0,0.0
255,0.0,0.11,2.0,0.45
256,0.0,0.276,16.0,0.0
257,1.0,1.207,70.0,4.91
258,1.0,1.567,208.0,3.51
259,1.0,1.057,103.0,7.05
260,1.0,1.614,150.0,4.69
261,1.0,1.614,150.0,4.69
262,1.0,1.057,103.0,7.05
263,1.0,0.666,36.0,3.24
264,1.0,1.124,106.0,4.82
265,4.0,0.21,58.0,0.77
266,4.0,0.1,1.0,1.0
267,4.0,0.1,1.0,1.0
268,1.0,0.718,55.0,3.17
269,1.0,0.718,55.0,3.17
270,1.0,0.666,36.0,3.24
271,1.0,0.862,45.0,4.35
272,1.0,1.406,62.0,3.24
273,0.0,0.107,3.0,0.0
274,1.0,1.218,129.0,8.83
275,0.0,0.317,9.0,0.0
276,2.0,0.379,27.0,4.42
277,0.0,0.196,6.0,0.0
278,1.0,1.319,195.0,6.55
279,1.0,2.001,185.0,6.8
280,1.0,2.001,185.0,6.8
281,1.0,2.001,185.0,6.8
282,0.0,0.266,16.0,0.0
283,0.0,0.326,189.0,4.4
284,1.0,0.94,73.0,2.36
285,1.0,0.94,73.0,2.36
286,1.0,1.057,103.0,7.05
287,1.0,1.055,58.0,4.81
288,1.0,9.008,537.0,16.48
289,1.0,1.009,17.0,3.23
290,0.0,0.317,9.0,0.0
291,0.0,0.386,10.0,2.34
292,3.0,0.323,38.0,2.34
293,1.0,0.598,51.0,4.97
294,0.0,0.215,18.0,0.0
295,1.0,2.153,218.0,12.03
