,0,1,2,3
177,1.0,6.661,302.0,9.0
178,1.0,6.638,68.0,19.09
179,1.0,6.637,218.0,14.82
180,1.0,6.636,363.0,11.38
181,1.0,6.607,151.0,5.38
182,1.0,6.605,197.0,37.55
183,1.0,6.523,137.0,8.11
184,1.0,6.522,284.0,6.42
185,1.0,6.476,342.0,10.03
186,1.0,6.412,216.0,8.0
187,1.0,6.358,247.0,10.42
188,1.0,6.357,272.0,17.27
189,1.0,6.349,226.0,10.67
190,1.0,6.347,170.0,5.89
191,1.0,6.333,240.0,6.55
192,1.0,6.321,171.0,5.23
193,1.0,6.29,272.0,8.84
194,1.0,6.278,488.0,10.27
195,1.0,6.277,194.0,8.21
196,1.0,6.272,374.0,5.48
197,1.0,6.264,154.0,8.69
198,1.0,6.239,144.0,14.69
199,1.0,6.221,35.0,12.56
200,1.0,6.195,160.0,12.73
201,1.0,6.18,95.0,16.03
202,1.0,6.123,67.0,4.38
203,1.0,6.108,63.0,4.92
204,1.0,6.104,96.0,18.49
205,1.0,6.076,142.0,6.2
206,1.0,6.069,322.0,17.09
207,1.0,6.03,160.0,12.74
208,1.0,6.011,173.0,9.59
209,1.0,5.969,153.0,13.04
210,1.0,5.961,56.0,11.38
211,1.0,5.952,279.0,27.57
212,1.0,5.94,68.0,21.22
213,1.0,5.938,127.0,4.14
214,1.0,5.928,146.0,14.39
215,1.0,5.91,212.0,15.2
216,1.0,5.901,111.0,8.49
217,1.0,5.879,97.0,12.04
218,1.0,5.879,139.0,7.45
219,1.0,5.878,175.0,5.18
220,1.0,5.877,178.0,7.51
221,1.0,5.856,126.0,9.03
222,1.0,5.855,106.0,3.23
223,1.0,5.831,550.0,13.53
224,1.0,5.822,57.0,8.48
225,1.0,5.797,356.0,7.92
226,1.0,5.79,120.0,4.57
227,1.0,5.764,171.0,16.88
228,1.0,5.713,223.0,8.46
229,1.0,5.678,156.0,3.88
230,1.0,5.677,117.0,9.34
231,1.0,5.657,18.0,9.22
232,1.0,5.632,209.0,11.48
233,1.0,5.63,110.0,26.79
234,1.0,5.63,119.0,3.47
235,1.0,5.619,50.0,18.49
236,1.0,5.606,111.0,7.88
237,1.0,5.605,42.0,9.14
238,1.0,5.586,143.0,19.49
239,1.0,5.565,83.0,12.52
240,1.0,5.564,89.0,7.94
241,1.0,5.559,365.0,13.78
242,1.0,5.554,382.0,14.79
243,1.0,5.551,198.0,17.36
244,1.0,5.536,125.0,6.9
245,1.0,5.515,465.0,7.41
246,1.0,5.513,145.0,5.15
247,1.0,5.512,170.0,7.69
248,1.0,5.495,130.0,7.24
249,1.0,5.488,361.0,9.04
250,1.0,5.483,54.0,3.73
251,1.0,5.477,353.0,6.91
252,1.0,5.445,77.0,4.82
253,1.0,5.435,200.0,10.14
254,1.0,5.427,324.0,9.81
255,1.0,5.414,380.0,7.9
256,1.0,5.388,100.0,15.44
257,1.0,5.38,71.0,7.11
258,1.0,5.365,155.0,9.05
259,1.0,5.343,54.0,5.4
260,1.0,5.339,40.0,2.24
261,1.0,5.335,319.0,7.04
262,1.0,5.331,158.0,13.59
263,1.0,5.324,341.0,6.75
264,1.0,5.298,231.0,6.37
265,1.0,5.297,78.0,13.61
266,1.0,5.284,264.0,7.6
267,1.0,5.283,230.0,7.97
268,1.0,5.234,140.0,9.42
269,1.0,5.231,105.0,7.65
270,1.0,5.225,76.0,16.42
271,1.0,5.225,71.0,9.7
272,1.0,5.207,116.0,19.88
273,1.0,5.166,276.0,20.82
274,1.0,5.149,133.0,6.01
275,1.0,5.142,336.0,7.47
276,1.0,5.14,342.0,3.89
277,1.0,5.128,261.0,7.46
278,1.0,5.126,81.0,26.23
279,1.0,5.084,66.0,21.43
280,1.0,5.074,107.0,14.67
281,1.0,5.071,213.0,10.23
282,1.0,5.062,103.0,5.56
283,1.0,5.061,46.0,9.45
284,1.0,5.06,61.0,11.37
285,1.0,5.028,244.0,5.04
286,1.0,5.011,771.0,9.57
287,1.0,4.993,165.0,11.7
288,1.0,4.989,151.0,9.94
289,1.0,4.988,130.0,3.53
290,1.0,4.977,180.0,12.53
291,1.0,4.976,87.0,9.02
292,1.0,4.976,196.0,6.9
293,1.0,4.975,38.0,19.78
294,1.0,4.968,204.0,12.63
295,1.0,4.954,255.0,5.04
296,1.0,4.933,61.0,3.77
297,1.0,4.923,107.0,8.92
298,1.0,4.899,336.0,7.71
299,1.0,4.898,198.0,12.52
300,1.0,4.897,49.0,4.86
301,1.0,4.894,16.0,16.65
302,1.0,4.893,76.0,11.15
303,1.0,4.853,488.0,11.62
304,1.0,4.847,228.0,9.17
305,1.0,4.834,22.0,7.74
306,1.0,4.819,195.0,9.26
307,1.0,4.778,94.0,7.79
308,1.0,4.764,296.0,7.81
309,1.0,4.72,171.0,13.53
310,1.0,4.715,289.0,7.8
311,1.0,4.703,159.0,19.04
312,1.0,4.688,680.0,5.46
313,1.0,4.688,211.0,7.61
314,1.0,4.683,160.0,3.31
315,1.0,4.683,120.0,14.1
316,1.0,4.672,248.0,19.29
317,1.0,4.66,46.0,12.57
318,1.0,4.659,177.0,9.35
319,0.0,4.658,406.0,45.17
320,1.0,4.657,121.0,3.55
321,1.0,4.634,107.0,8.1
322,1.0,4.628,215.0,11.69
323,1.0,4.611,18.0,6.8
324,1.0,4.596,85.0,3.48
325,1.0,4.588,115.0,9.6
326,1.0,4.587,263.0,11.39
327,1.0,4.586,82.0,5.13
328,1.0,4.584,184.0,5.32
329,1.0,4.579,75.0,2.52
330,1.0,4.539,133.0,6.04
331,1.0,4.539,192.0,8.21
332,1.0,4.532,119.0,6.58
333,1.0,4.514,37.0,9.65
334,1.0,4.508,58.0,9.73
335,1.0,4.491,194.0,10.67
336,1.0,4.483,16.0,8.7
337,1.0,4.475,107.0,12.57
338,1.0,4.455,369.0,5.91
339,1.0,4.451,279.0,6.27
340,1.0,4.441,148.0,4.77
341,1.0,4.434,122.0,10.77
342,1.0,4.433,110.0,3.34
343,1.0,4.422,173.0,9.8
344,1.0,4.418,74.0,3.42
345,1.0,4.404,32.0,1.54
346,1.0,4.398,184.0,6.84
347,1.0,4.368,117.0,11.28
348,1.0,4.367,22.0,3.51
349,1.0,4.356,19.0,2.53
350,1.0,4.336,293.0,5.52
351,1.0,4.329,171.0,5.97
352,1.0,4.322,81.0,12.31
353,1.0,4.305,84.0,14.57
354,1.0,4.292,35.0,69.56
355,1.0,4.292,14.0,2.11
356,1.0,4.284,33.0,12.73
357,1.0,4.283,146.0,9.07
358,1.0,4.278,133.0,11.06
359,1.0,4.268,144.0,9.09
360,1.0,4.254,156.0,9.44
361,1.0,4.231,157.0,10.69
362,1.0,4.229,229.0,6.46
363,1.0,4.207,53.0,5.64
364,1.0,4.201,54.0,5.27
365,1.0,4.185,76.0,11.38
366,1.0,4.175,48.0,7.47
367,1.0,4.155,205.0,7.09
368,1.0,4.154,112.0,5.8
369,1.0,4.153,309.0,5.54
370,1.0,4.15,119.0,5.59
371,1.0,4.146,255.0,9.61
372,1.0,4.142,133.0,9.15
373,1.0,4.138,22.0,9.06
374,0.0,4.133,279.0,20.97
375,1.0,4.127,271.0,7.28
376,1.0,4.106,314.0,5.62
377,1.0,4.103,449.0,8.2
378,1.0,4.099,45.0,7.5
379,1.0,4.092,184.0,8.28
380,1.0,4.066,58.0,11.01
381,1.0,4.062,27.0,2.45
382,1.0,4.06,92.0,7.58
383,1.0,4.041,101.0,4.89
384,1.0,4.021,241.0,5.91
385,1.0,4.017,110.0,4.68
386,1.0,4.01,115.0,10.24
